invoice_id,vendor_id,vendor_name,vendor_category,po_reference,po_amount,invoice_amount,gr_amount,deviation_pct,days_since_last_invoice,is_new_vendor,three_way_match,invoice_date,anomaly_type,label
INV-13882,V-008,TechServe Inc,IT,PO-28946,47908.69,47375.91,47908.69,-1.11,24,0,1,2024-11-10,none,0
INV-47974,V-010,ProMed Devices,medical,PO-51534,95750.94,93929.74,95750.94,-1.9,29,0,1,2025-01-25,none,0
INV-6637,V-002,BioTech Equipment Ltd,medical,PO-89783,185559.03,185386.95,185559.03,-0.09,26,0,1,2026-01-19,none,0
INV-31177,V-007,SafetyFirst Ltd,safety,PO-35637,8225.59,8081.96,8225.59,-1.75,32,0,1,2025-04-04,none,0
INV-61481,V-005,FastTech Solutions,IT,PO-58515,26165.58,25634.52,26165.58,-2.03,36,0,1,2025-01-21,none,0
INV-28932,V-008,TechServe Inc,IT,PO-69394,41901.71,42466.26,41901.71,1.35,18,0,1,2025-08-20,none,0
INV-84521,V-003,MedCo Supplies Inc,medical,PO-61688,12244.34,12304.39,12244.34,0.49,28,0,1,2026-01-09,none,0
INV-98503,V-002,BioTech Equipment Ltd,medical,PO-52237,189935.95,191756.06,189935.95,0.96,6,0,1,2024-05-11,duplicate,1
INV-4699,V-008,TechServe Inc,IT,PO-96144,42810.32,44003.53,42810.32,2.79,36,0,1,2025-01-22,none,0
INV-4966,V-009,CleanCo Services,facilities,PO-54048,6102.75,6250.17,6102.75,2.42,25,0,1,2026-02-26,none,0
INV-50854,V-007,SafetyFirst Ltd,safety,PO-40338,7886.38,7496.606247671184,7886.38,-4.94,33,0,1,2026-02-03,none,0
INV-82798,V-002,BioTech Equipment Ltd,medical,PO-13745,169332.89,170802.87,169332.89,0.87,7,0,1,2026-01-21,duplicate,1
INV-88161,V-008,TechServe Inc,IT,PO-70271,44468.07,43193.73,44468.07,-2.87,35,0,1,2024-11-29,none,0
INV-66987,V-004,OfficeMax,stationery,PO-64439,1952.03,1931.8,1952.03,-1.04,21,0,1,2024-09-22,none,0
INV-18379,V-004,OfficeMax,stationery,PO-73987,2135.62,2129.77,2135.62,-0.27,6,0,1,2024-07-05,duplicate,1
INV-62186,V-009,CleanCo Services,facilities,PO-18274,5523.76,5595.45,5523.76,1.3,4,0,1,2025-03-04,duplicate,1
INV-14118,V-006,GlobalParts Co,industrial,PO-77056,47025.56,47555.96,47025.56,1.13,30,0,1,2024-09-09,none,0
INV-64490,V-008,TechServe Inc,IT,PO-47859,41792.3,41961.6,41792.3,0.41,32,0,1,2024-12-12,none,0
INV-8126,V-008,TechServe Inc,IT,PO-94912,47196.72,49776.3399956516,47196.72,5.47,25,0,1,2024-06-23,none,0
INV-3049,V-005,FastTech Solutions,IT,PO-80436,29995.69,30704.13032535835,29995.69,2.36,28,0,1,2024-05-22,none,0
INV-53675,V-004,OfficeMax,stationery,PO-85032,2070.83,2079.28,2070.83,0.41,25,0,1,2025-08-01,none,0
INV-54378,V-005,FastTech Solutions,IT,PO-80953,25496.79,24963.58,0.0,-2.09,38,0,0,2024-11-15,phantom_delivery,1
INV-63824,V-003,MedCo Supplies Inc,medical,PO-40252,12420.01,12477.04,12420.01,0.46,24,0,1,2024-09-02,none,0
INV-77818,V-007,SafetyFirst Ltd,safety,PO-36255,8474.95,8616.27,8474.95,1.67,28,0,1,2024-10-12,none,0
INV-76191,V-002,BioTech Equipment Ltd,medical,PO-89886,177040.49,179270.14,177040.49,1.26,34,0,1,2025-08-15,none,0
INV-51294,V-009,CleanCo Services,facilities,PO-16058,5900.22,5828.74,5900.22,-1.21,28,0,1,2024-07-04,none,0
INV-81921,V-002,BioTech Equipment Ltd,medical,PO-95852,189285.05,250619.71,189285.05,32.4,28,0,0,2025-02-12,overbilling,1
INV-84648,V-001,Apex Supplies Ltd,industrial,PO-53551,34910.24,34308.36,34910.24,-1.72,6,0,1,2024-10-16,duplicate,1
INV-71158,V-001,Apex Supplies Ltd,industrial,PO-77570,35750.93,35588.38,35750.93,-0.45,26,0,1,2024-03-26,none,0
INV-77326,V-002,BioTech Equipment Ltd,medical,PO-86823,160303.7,159744.24,160303.7,-0.35,24,0,1,2025-07-04,none,0
INV-11460,V-003,MedCo Supplies Inc,medical,PO-48420,11591.31,11515.33,11591.31,-0.66,34,0,1,2025-12-29,none,0
INV-61029,V-010,ProMed Devices,medical,PO-78941,98674.86,97065.66,98674.86,-1.63,20,0,1,2024-10-13,none,0
INV-2899,V-005,FastTech Solutions,IT,PO-40804,25241.84,25166.79,25241.84,-0.3,30,0,1,2026-01-31,none,0
INV-88420,V-007,SafetyFirst Ltd,safety,PO-59452,9235.59,9304.28,9235.59,0.74,35,0,1,2024-10-14,none,0
INV-7317,V-009,CleanCo Services,facilities,PO-59601,6065.4,5883.58,6065.4,-3.0,23,0,1,2024-10-17,none,0
INV-20388,V-004,OfficeMax,stationery,PO-28569,2192.75,2147.12,0.0,-2.08,32,0,0,2024-05-26,phantom_delivery,1
INV-11416,V-002,BioTech Equipment Ltd,medical,PO-96752,175859.37,177581.99,175859.37,0.98,32,0,1,2026-01-23,none,0
INV-63583,V-005,FastTech Solutions,IT,PO-72486,30282.6,29626.21,30282.6,-2.17,36,0,1,2024-11-17,none,0
INV-24356,V-008,TechServe Inc,IT,PO-98546,46754.65,47551.44,46754.65,1.7,31,0,1,2026-03-09,none,0
INV-44412,V-010,ProMed Devices,medical,PO-49201,104297.93,104990.31,104297.93,0.66,32,0,1,2026-01-02,none,0
INV-43837,V-008,TechServe Inc,IT,PO-49499,45145.96,46176.53,45145.96,2.28,25,0,1,2024-10-11,none,0
INV-73624,V-008,TechServe Inc,IT,PO-76328,40628.53,41631.77,40628.53,2.47,18,0,1,2025-07-19,none,0
INV-68679,V-005,FastTech Solutions,IT,PO-37497,29340.52,28952.74,29340.52,-1.32,30,0,1,2025-12-15,none,0
INV-44583,V-001,Apex Supplies Ltd,industrial,PO-69868,34300.67,42704.59,34300.67,24.5,24,0,0,2025-03-30,overbilling,1
INV-26243,V-006,GlobalParts Co,industrial,PO-62642,56839.12,57889.03,56839.12,1.85,1,0,1,2026-02-09,duplicate,1
INV-88632,V-001,Apex Supplies Ltd,industrial,PO-37102,35468.01,36387.91,35468.01,2.59,33,0,1,2024-10-12,none,0
INV-52192,V-003,MedCo Supplies Inc,medical,PO-62195,12895.51,12513.48,12895.51,-2.96,30,0,1,2024-10-25,none,0
INV-42537,V-010,ProMed Devices,medical,PO-86119,89113.65,89013.38,89113.65,-0.11,26,0,1,2024-09-15,none,0
INV-89061,V-007,SafetyFirst Ltd,safety,PO-87548,8221.66,8433.95,8221.66,2.58,22,0,1,2025-01-04,none,0
INV-55263,V-004,OfficeMax,stationery,PO-77022,2142.89,2192.26,2142.89,2.3,35,0,1,2026-02-24,none,0
INV-91433,V-009,CleanCo Services,facilities,PO-24502,6104.62,6033.78,0.0,-1.16,29,0,0,2025-09-13,phantom_delivery,1
INV-99830,V-003,MedCo Supplies Inc,medical,PO-80402,11858.88,12012.91,11858.88,1.3,28,0,1,2026-03-22,none,0
INV-26281,V-008,TechServe Inc,IT,PO-83995,45951.77,46685.2,45951.77,1.6,41,0,1,2025-11-04,none,0
INV-58741,V-001,Apex Supplies Ltd,industrial,PO-19094,35275.62,35021.86,35275.62,-0.72,28,0,1,2025-07-18,none,0
INV-5526,V-010,ProMed Devices,medical,PO-94360,102930.73,101797.31,102930.73,-1.1,25,0,1,2025-06-10,none,0
INV-69876,V-010,ProMed Devices,medical,PO-20091,95063.05,97892.87,95063.05,2.98,32,0,1,2026-02-02,none,0
INV-39528,V-010,ProMed Devices,medical,PO-56500,104012.81,102584.27,104012.81,-1.37,33,0,1,2024-10-18,none,0
INV-79625,V-002,BioTech Equipment Ltd,medical,PO-52513,176684.2,176186.11,176684.2,-0.28,37,0,1,2024-06-18,none,0
INV-9875,V-004,OfficeMax,stationery,PO-86400,2093.21,2046.01,2093.21,-2.25,25,0,1,2025-08-10,none,0
INV-59919,V-001,Apex Supplies Ltd,industrial,PO-62973,34274.22,46520.92,34274.22,35.73,27,0,0,2024-12-31,overbilling,1
INV-17133,V-010,ProMed Devices,medical,PO-29490,88567.85,89852.68,88567.85,1.45,23,0,1,2025-03-01,none,0
INV-76882,V-008,TechServe Inc,IT,PO-26361,44390.04,44837.32,44390.04,1.01,29,0,1,2025-12-29,none,0
INV-25037,V-008,TechServe Inc,IT,PO-45769,46144.4,46666.8,46144.4,1.13,30,0,1,2025-10-17,none,0
INV-37390,V-004,OfficeMax,stationery,PO-10559,2028.94,2004.22,2028.94,-1.22,22,0,1,2025-11-28,none,0
INV-22289,V-004,OfficeMax,stationery,PO-61729,1833.1,1892.3040877488156,1833.1,3.23,36,0,1,2024-06-14,none,0
INV-57311,V-NEW-018,NewVendor Corp 18,industrial,PO-19157,176465.76,177117.54,143345.46,0.37,4,1,1,2024-08-08,new_vendor_risk,1
INV-18779,V-006,GlobalParts Co,industrial,PO-62052,52314.44,51944.7,52314.44,-0.71,34,0,1,2026-02-12,none,0
INV-47478,V-003,MedCo Supplies Inc,medical,PO-94876,11821.04,11535.88,11821.04,-2.41,38,0,1,2024-07-30,none,0
INV-80842,V-003,MedCo Supplies Inc,medical,PO-38860,13085.88,13156.7,13085.88,0.54,27,0,1,2025-03-15,none,0
INV-16389,V-008,TechServe Inc,IT,PO-30190,49091.26,52144.1506597005,49091.26,6.22,43,0,1,2025-04-23,none,0
INV-62438,V-002,BioTech Equipment Ltd,medical,PO-80894,187210.56,181710.98,187210.56,-2.94,37,0,1,2024-10-30,none,0
INV-65775,V-010,ProMed Devices,medical,PO-92920,95984.01,93473.07,95984.01,-2.62,23,0,1,2025-09-05,none,0
INV-81123,V-009,CleanCo Services,facilities,PO-85941,6189.21,6060.06,6189.21,-2.09,35,0,1,2025-07-05,none,0
INV-44081,V-004,OfficeMax,stationery,PO-41860,1800.12,1841.41,1800.12,2.29,28,0,1,2025-03-21,none,0
INV-64048,V-001,Apex Supplies Ltd,industrial,PO-35351,38224.15,37455.93,38224.15,-2.01,34,0,1,2025-09-16,none,0
INV-80705,V-003,MedCo Supplies Inc,medical,PO-11191,11235.46,11087.56,11235.46,-1.32,30,0,1,2024-05-07,none,0
INV-64049,V-009,CleanCo Services,facilities,PO-24190,5959.58,6110.75,5959.58,2.54,37,0,1,2024-07-28,none,0
INV-52664,V-002,BioTech Equipment Ltd,medical,PO-58963,160053.89,163137.74,160053.89,1.93,30,0,1,2024-07-30,none,0
INV-40302,V-004,OfficeMax,stationery,PO-45842,1849.93,1799.63,1849.93,-2.72,22,0,1,2024-05-12,none,0
INV-6946,V-008,TechServe Inc,IT,PO-51806,40697.37,41790.8,40697.37,2.69,24,0,1,2025-01-05,none,0
INV-69267,V-010,ProMed Devices,medical,PO-50552,87424.62,81284.92100696603,87424.62,-7.02,31,0,1,2026-01-19,none,0
INV-45888,V-010,ProMed Devices,medical,PO-61081,93290.4,90789.46,93290.4,-2.68,27,0,1,2024-06-27,none,0
INV-10769,V-008,TechServe Inc,IT,PO-94603,42816.79,43915.233503492,42816.79,2.57,40,0,1,2024-10-14,none,0
INV-32944,V-007,SafetyFirst Ltd,safety,PO-71170,8493.1,8267.788357358,8493.1,-2.65,28,0,1,2024-04-27,none,0
INV-36002,V-004,OfficeMax,stationery,PO-62254,1904.27,1892.07,1904.27,-0.64,30,0,1,2024-09-18,none,0
INV-82098,V-008,TechServe Inc,IT,PO-80725,45305.86,44936.72,45305.86,-0.81,26,0,1,2024-07-07,none,0
INV-60810,V-009,CleanCo Services,facilities,PO-96737,5423.69,5444.8,5423.69,0.39,34,0,1,2024-12-17,none,0
INV-57437,V-001,Apex Supplies Ltd,industrial,PO-25771,35864.71,34950.82,35864.71,-2.55,20,0,1,2025-01-30,none,0
INV-79820,V-007,SafetyFirst Ltd,safety,PO-45486,8369.51,8401.59,8369.51,0.38,42,0,1,2024-11-07,none,0
INV-71738,V-010,ProMed Devices,medical,PO-87077,100832.7,146294.2,100832.7,45.09,27,0,0,2025-01-08,overbilling,1
INV-57708,V-006,GlobalParts Co,industrial,PO-53624,47952.11,48502.98,47952.11,1.15,4,0,1,2026-03-26,duplicate,1
INV-84079,V-008,TechServe Inc,IT,PO-19298,41820.06,42434.92,41820.06,1.47,5,0,1,2024-07-14,duplicate,1
INV-56300,V-009,CleanCo Services,facilities,PO-62677,5589.3,5448.18,5589.3,-2.52,30,0,1,2024-12-16,none,0
INV-25337,V-003,MedCo Supplies Inc,medical,PO-73426,12065.89,11872.75,12065.89,-1.6,34,0,1,2025-03-23,none,0
INV-80700,V-004,OfficeMax,stationery,PO-60002,2049.4,2031.9,2049.4,-0.85,36,0,1,2024-10-09,none,0
INV-92090,V-004,OfficeMax,stationery,PO-20225,2194.01,2245.26,2194.01,2.34,35,0,1,2026-01-09,none,0
INV-70989,V-003,MedCo Supplies Inc,medical,PO-80560,11431.81,11490.32,11431.81,0.51,23,0,1,2025-08-19,none,0
INV-41576,V-009,CleanCo Services,facilities,PO-65340,6360.83,6453.46,6360.83,1.46,3,0,1,2025-06-21,duplicate,1
INV-89824,V-009,CleanCo Services,facilities,PO-30980,5552.92,5426.53,5552.92,-2.28,33,0,1,2024-04-03,none,0
INV-38134,V-009,CleanCo Services,facilities,PO-42636,6308.29,6360.0,6308.29,0.82,1,0,1,2025-09-25,duplicate,1
INV-1440,V-001,Apex Supplies Ltd,industrial,PO-77653,35708.2,35747.44,35708.2,0.11,24,0,1,2024-10-09,none,0
INV-29922,V-007,SafetyFirst Ltd,safety,PO-19637,7752.12,7670.96,7752.12,-1.05,23,0,1,2024-11-29,none,0
INV-63518,V-002,BioTech Equipment Ltd,medical,PO-15573,181842.87,183510.8,181842.87,0.92,27,0,1,2024-12-01,none,0
INV-27922,V-010,ProMed Devices,medical,PO-87018,101584.16,101615.65,101584.16,0.03,34,0,1,2025-09-03,none,0
INV-1088,V-008,TechServe Inc,IT,PO-66072,40557.41,41721.46,40557.41,2.87,45,0,1,2025-08-31,none,0
INV-31682,V-NEW-019,NewVendor Corp 19,industrial,PO-94862,230059.91,231034.68,187550.8,0.42,5,1,1,2025-02-11,new_vendor_risk,1
INV-83901,V-001,Apex Supplies Ltd,industrial,PO-33235,37618.02,36678.0,37618.02,-2.5,29,0,1,2024-05-28,none,0
INV-65323,V-005,FastTech Solutions,IT,PO-43767,27146.71,27372.34,27146.71,0.83,30,0,1,2025-11-23,none,0
INV-5351,V-004,OfficeMax,stationery,PO-60674,2194.08,2167.12,2194.08,-1.23,32,0,1,2024-07-11,none,0
INV-68576,V-008,TechServe Inc,IT,PO-34577,48913.08,48889.22,48913.08,-0.05,26,0,1,2025-11-01,none,0
INV-40423,V-007,SafetyFirst Ltd,safety,PO-15716,8483.53,8387.622968343081,8483.53,-1.13,28,0,1,2026-02-03,none,0
INV-14680,V-009,CleanCo Services,facilities,PO-39024,5911.29,6078.67,5911.29,2.83,36,0,1,2026-03-26,none,0
INV-75167,V-010,ProMed Devices,medical,PO-99319,91292.52,92893.32,91292.52,1.75,30,0,1,2024-10-13,none,0
INV-38003,V-001,Apex Supplies Ltd,industrial,PO-72711,38318.45,37272.01,38318.45,-2.73,28,0,1,2024-07-12,none,0
INV-81823,V-NEW-015,NewVendor Corp 15,IT,PO-98657,111787.28,110571.76,110837.63,-1.09,8,1,1,2025-07-02,new_vendor_risk,1
INV-2467,V-007,SafetyFirst Ltd,safety,PO-58740,8068.33,7875.096743826048,8068.33,-2.39,29,0,1,2026-01-24,none,0
INV-40323,V-004,OfficeMax,stationery,PO-82554,2095.51,2068.71,2095.51,-1.28,39,0,1,2026-03-21,none,0
INV-94404,V-006,GlobalParts Co,industrial,PO-81142,51032.32,52276.31,51032.32,2.44,35,0,1,2024-09-06,none,0
INV-42217,V-010,ProMed Devices,medical,PO-88572,92110.66,93741.74,92110.66,1.77,34,0,1,2024-12-09,none,0
INV-45541,V-005,FastTech Solutions,IT,PO-56009,26898.34,26254.47,26898.34,-2.39,33,0,1,2026-03-20,none,0
INV-87925,V-010,ProMed Devices,medical,PO-63036,91862.65,92844.73,91862.65,1.07,29,0,1,2025-06-30,none,0
INV-29110,V-010,ProMed Devices,medical,PO-64982,95164.82,93895.59,95164.82,-1.33,27,0,1,2024-11-24,none,0
INV-25450,V-009,CleanCo Services,facilities,PO-85608,5766.53,5851.16,5766.53,1.47,17,0,1,2024-10-31,none,0
INV-49748,V-001,Apex Supplies Ltd,industrial,PO-61344,36788.81,37071.03,36788.81,0.77,35,0,1,2024-07-14,none,0
INV-40263,V-001,Apex Supplies Ltd,industrial,PO-94810,34923.11,35921.83,34923.11,2.86,30,0,1,2024-07-30,none,0
INV-38498,V-002,BioTech Equipment Ltd,medical,PO-80206,161787.43,163097.0,161787.43,0.81,22,0,1,2025-04-08,none,0
INV-26624,V-009,CleanCo Services,facilities,PO-36523,5671.45,5717.84,5671.45,0.82,26,0,1,2025-06-03,none,0
INV-17525,V-010,ProMed Devices,medical,PO-10143,96778.46,97151.43,96778.46,0.39,28,0,1,2024-12-26,none,0
INV-8128,V-003,MedCo Supplies Inc,medical,PO-49867,12872.49,12575.97,0.0,-2.3,33,0,0,2024-12-06,phantom_delivery,1
INV-4046,V-NEW-006,NewVendor Corp 6,industrial,PO-22876,168593.38,176835.56,138123.31,4.89,6,1,1,2025-10-26,new_vendor_risk,1
INV-16443,V-010,ProMed Devices,medical,PO-25464,96487.45,94809.47,96487.45,-1.74,40,0,1,2024-06-04,none,0
INV-59288,V-004,OfficeMax,stationery,PO-94555,1850.17,1902.06,1850.17,2.8,35,0,1,2025-10-18,none,0
INV-3309,V-004,OfficeMax,stationery,PO-87726,2138.3,2143.48,2138.3,0.24,7,0,1,2024-07-05,duplicate,1
INV-33669,V-007,SafetyFirst Ltd,safety,PO-14203,8789.47,8915.6,8789.47,1.44,30,0,1,2024-10-22,none,0
INV-55296,V-NEW-012,NewVendor Corp 12,IT,PO-18994,153284.67,153453.17,131583.81,0.11,2,1,1,2025-01-26,new_vendor_risk,1
INV-3770,V-001,Apex Supplies Ltd,industrial,PO-78666,35852.4,35836.88,35852.4,-0.04,32,0,1,2026-01-21,none,0
INV-45007,V-003,MedCo Supplies Inc,medical,PO-33178,12238.9,12326.5,0.0,0.72,27,0,0,2024-12-22,phantom_delivery,1
INV-39152,V-008,TechServe Inc,IT,PO-28982,47023.1,45780.35,47023.1,-2.64,31,0,1,2025-08-24,none,0
INV-54052,V-003,MedCo Supplies Inc,medical,PO-56621,11401.93,11553.75,11401.93,1.33,42,0,1,2025-10-26,none,0
INV-28017,V-005,FastTech Solutions,IT,PO-86322,26549.0,25870.29,26549.0,-2.56,35,0,1,2025-12-30,none,0
INV-28114,V-008,TechServe Inc,IT,PO-78303,43870.93,44654.64,43870.93,1.79,28,0,1,2024-11-17,none,0
INV-35993,V-006,GlobalParts Co,industrial,PO-47016,53961.9,52928.42,53961.9,-1.92,26,0,1,2026-02-18,none,0
INV-79128,V-005,FastTech Solutions,IT,PO-25689,25729.36,26366.464376474138,25729.36,2.48,29,0,1,2025-01-25,none,0
INV-45793,V-004,OfficeMax,stationery,PO-65194,1983.06,1975.9150149708566,1983.06,-0.36,21,0,1,2025-07-29,none,0
INV-91274,V-005,FastTech Solutions,IT,PO-10017,30285.91,30857.53,30285.91,1.89,31,0,1,2026-01-19,none,0
INV-27604,V-005,FastTech Solutions,IT,PO-86730,30599.65,48014.67,30599.65,56.91,28,0,0,2024-12-01,overbilling,1
INV-98095,V-004,OfficeMax,stationery,PO-76692,1896.12,1850.04,1896.12,-2.43,27,0,1,2026-03-24,none,0
INV-6905,V-006,GlobalParts Co,industrial,PO-26375,50996.28,50734.6,50996.28,-0.51,37,0,1,2024-04-24,none,0
INV-12854,V-008,TechServe Inc,IT,PO-75622,48343.97,48189.48,48343.97,-0.32,27,0,1,2025-12-01,none,0
INV-88916,V-003,MedCo Supplies Inc,medical,PO-27790,13143.02,12999.94,13143.02,-1.09,30,0,1,2026-02-20,none,0
INV-31014,V-008,TechServe Inc,IT,PO-51868,41863.27,40763.8,41863.27,-2.63,34,0,1,2024-12-08,none,0
INV-48719,V-010,ProMed Devices,medical,PO-57584,104422.3,102994.96,104422.3,-1.37,30,0,1,2024-11-10,none,0
INV-98093,V-007,SafetyFirst Ltd,safety,PO-86121,8965.65,9153.89,8965.65,2.1,42,0,1,2025-08-27,none,0
INV-60889,V-008,TechServe Inc,IT,PO-48114,44961.77,45315.74,44961.77,0.79,27,0,1,2024-04-02,none,0
INV-29947,V-008,TechServe Inc,IT,PO-29333,48558.92,48189.95,48558.92,-0.76,29,0,1,2026-01-08,none,0
INV-29063,V-003,MedCo Supplies Inc,medical,PO-45985,12090.06,12449.25,12090.06,2.97,28,0,1,2024-12-31,none,0
INV-19580,V-003,MedCo Supplies Inc,medical,PO-53791,11036.19,11150.35,11036.19,1.03,27,0,1,2024-03-27,none,0
INV-77561,V-009,CleanCo Services,facilities,PO-51512,5974.83,5903.76,5974.83,-1.19,29,0,1,2025-08-13,none,0
INV-23092,V-006,GlobalParts Co,industrial,PO-75600,52019.05,51612.22,52019.05,-0.78,43,0,1,2026-03-19,none,0
